CLASS|<$CLASS>
LargestCommonDenominator|<$PGMNAME>
{|<lb>
CONST|<$CONST>
M|<$CONSTVAR>
=|<assignment>
7|<$litInt>
,|<comma>
N|<$CONSTVAR>
=|<assignment>
85|<$litInt>
;|<semi>
VAR|<$VAR>
X|<var>
,|<comma>
Y|<var>
,|<comma>
Z|<var>
,|<comma>
Q|<var>
,|<comma>
R|<var>
;|<semi>
PROCEDURE|<$PROCEDURE>
Multiply|<$PROCNAME>
(|<lp>
)|<rp>
{|<lb>
VAR|<$VAR>
A|<var>
,|<comma>
B|<var>
;|<semi>
A|<var>
=|<assignment>
X|<var>
;|<semi>
B|<var>
=|<assignment>
Y|<var>
;|<semi>
Z|<var>
=|<assignment>
0|<$litInt>
;|<semi>
WHILE|<$WHILE>
B|<var>
>|<relop>
0|<$litInt>
DO|<$DO>
{|<lb>
IF|<$IF>
ODD|<$ODD>
B|<var>
THEN|<$THEN>
Z|<var>
=|<assignment>
Z|<var>
+|<addop>
A|<var>
;|<semi>
A|<var>
=|<assignment>
2|<$litInt>
*|<mop>
A|<var>
;|<semi>
B|<var>
=|<assignment>
B|<var>
/|<mop>
2|<$litInt>
}|<rb>
}|<rb>
PROCEDURE|<$PROCEDURE>
Divide|<$PROCNAME>
(|<lp>
)|<rp>
{|<lb>
VAR|<$VAR>
W|<var>
;|<semi>
R|<var>
=|<assignment>
X|<var>
;|<semi>
Q|<var>
=|<assignment>
0|<$litInt>
;|<semi>
W|<var>
=|<assignment>
Y|<var>
;|<semi>
WHILE|<$WHILE>
W|<var>
<=|<relop>
<=|<relop>
R|<var>
DO|<$DO>
W|<var>
=|<assignment>
2|<$litInt>
*|<mop>
W|<var>
;|<semi>
WHILE|<$WHILE>
W|<var>
>|<relop>
Y|<var>
DO|<$DO>
{|<lb>
Q|<var>
=|<assignment>
2|<$litInt>
*|<mop>
Q|<var>
;|<semi>
W|<var>
=|<assignment>
W|<var>
/|<mop>
2|<$litInt>
;|<semi>
IF|<$IF>
W|<var>
<=|<relop>
<=|<relop>
R|<var>
THEN|<$THEN>
{|<lb>
R|<var>
=|<assignment>
R|<var>
|<var>
–|<var>
W|<var>
;|<semi>
Q|<var>
=|<assignment>
Q|<var>
+|<addop>
1|<$litInt>
}|<rb>
}|<rb>
}|<rb>
PROCEDURE|<$PROCEDURE>
GCD|<$PROCNAME>
(|<lp>
)|<rp>
{|<lb>
VAR|<$VAR>
F|<var>
,|<comma>
G|<var>
;|<semi>
F|<var>
=|<assignment>
X|<var>
;|<semi>
G|<var>
=|<assignment>
Y|<var>
;|<semi>
WHILE|<$WHILE>
F|<var>
|<var>
!|<var>
=|<assignment>
G|<var>
DO|<$DO>
{|<lb>
IF|<$IF>
F|<var>
<|<relop>
G|<var>
THEN|<$THEN>
G|<var>
=|<assignment>
G|<var>
|<var>
–|<var>
F|<var>
;|<semi>
IF|<$IF>
G|<var>
<|<relop>
F|<var>
THEN|<$THEN>
F|<var>
=|<assignment>
F|<var>
|<var>
–|<var>
G|<var>
;|<semi>
}|<rb>
Z|<var>
=|<assignment>
F|<var>
}|<rb>
X|<var>
=|<assignment>
M|<var>
;|<semi>
Y|<var>
=|<assignment>
N|<var>
CALL|<$CALL>
Multiply|<var>
(|<lp>
)|<rp>
;|<semi>
X|<var>
=|<assignment>
25|<$litInt>
;|<semi>
Y|<var>
=|<assignment>
3|<$litInt>
;|<semi>
CALL|<$CALL>
Divide|<var>
(|<lp>
)|<rp>
;|<semi>
X|<var>
=|<assignment>
84|<$litInt>
;|<semi>
Y|<var>
=|<assignment>
36|<$litInt>
;|<semi>
CALL|<$CALL>
GCD|<var>
(|<lp>
)|<rp>
}|<rb>
